game_type,player1,player2,winner,seed,game_time
othello,mcts10000,mcts5000,1,22025001,2302.585446357727
othello,mcts1000,mctsstrategy10000(mobility_strategy),2,22025001,9833.392698287964
othello,mcts10000,mctsrave2000,1,22025001,1864.3241136074066
othello,mcts10000,mcts10000,1,22025001,3029.831839799881
othello,mcts2000,mctsstrategy5000(mobility_strategy_vs),1,22025001,9187.170071601868
othello,mcts10000,mobility_strategy_vs,1,22025001,1497.6422235965729
othello,mcts5000,mctsstrategy5000(mobility_strategy),1,22025001,5692.11652469635
othello,mcts10000,random_strategy,1,22025001,1574.7163398265839
othello,mcts10000,mctsrave5000,2,22025001,2317.4843277931213
othello,mcts10000,mobility_strategy,1,22025001,1548.3549342155457
othello,mctsrave1000,mcts1000,2,22025001,312.4882278442383
othello,mctsrave1000,mcts2000,2,22025001,475.95720958709717
othello,mcts10000,mctsrave10000,2,22025001,3099.149012327194
othello,mcts2000,mctsstrategy10000(mobility_strategy),1,22025001,10454.356079816818
othello,mctsrave1000,mctsrave1000,1,22025001,345.7858257293701
othello,mctsrave1000,mcts5000,2,22025001,999.2943201065063
othello,mctsrave1000,mctsrave2000,1,22025001,503.3194160461426
othello,mcts10000,mctsstrategy1000(mobility_strategy_vs),1,22025001,3434.3599815368652
othello,mctsrave1000,random_strategy,1,22025001,177.61704182624817
othello,mctsrave1000,mcts10000,2,22025001,1665.7138619422913
othello,mctsrave1000,mobility_strategy_vs,1,22025001,158.9483244419098
othello,mcts10000,mctsstrategy1000(mobility_strategy),1,22025001,2672.14067530632
othello,mctsrave1000,mobility_strategy,2,22025001,145.65744996070862
othello,mctsrave1000,mctsrave5000,2,22025001,884.9204323291779
othello,mcts10000,mctsstrategy2000(mobility_strategy),1,22025001,3466.5118265151978
othello,mctsrave1000,mctsrave10000,2,22025001,1620.6942121982574
othello,mcts5000,mctsstrategy5000(mobility_strategy_vs),2,22025001,10331.787554264069
othello,mcts10000,mctsstrategy2000(mobility_strategy_vs),1,22025001,5211.695565462112
