game_type,player1,player2,winner,seed
othello,mapbaseheuothello,random,1,22021102
othello,alphabeta3,mapbaseheuothello,2,22021087
othello,mctsrave1000,mctsstrategy1000(random_strategy),2,22021090
othello,alphabeta3,alphabeta3,2,22021106
othello,mctsstrategy1000(random_strategy),mcts1000,2,22021107
othello,mctsstrategy1000(random_strategy),mctsrave1000,2,22021146
othello,alphabeta3,mctsrave1000,1,22021118
othello,mctsstrategy1000(random_strategy),mctsstrategy1000(random_strategy),2,22021081
othello,mctsrave1000,random,2,22021077
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021083
othello,random,mapbaseheuothello,2,22021121
othello,mapbaseheuothello,mctsstrategies1000(random_strategy:mobility_strategy),2,22021103
othello,greedy,mcts1000,2,22021122
othello,greedy,mcts1000,2,22021077
othello,random,random,1,22021145
othello,mapbaseheuothello,mapbaseheuothello,0,22021163
othello,greedy,mapbaseheuothello,2,22021070
othello,mctsstrategies1000(random_strategy:mobility_strategy),mctsrave1000,2,22021089
othello,alphabeta3,greedy,1,22021132
othello,random,alphabeta3,2,22021153
othello,greedy,alphabeta3,2,22021127
othello,mctsstrategies1000(random_strategy:mobility_strategy),mapbaseheuothello,2,22021097
hex,random,mctsstrategy1000(random_strategy),2,22021147
othello,mapbaseheuothello,greedy,1,22021098
othello,random,alphabeta3,2,22021136
othello,mapbaseheuothello,mapbaseheuothello,2,22021129
othello,mctsstrategy1000(random_strategy),mcts1000,2,22021096
othello,alphabeta3,alphabeta3,2,22021144
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021163
othello,greedy,greedy,0,22021158
othello,mctsrave1000,mcts1000,2,22021096
hex,mctsstrategy1000(random_strategy),random,1,22021076
othello,greedy,alphabeta3,2,22021096
othello,random,mapbaseheuothello,2,22021088
othello,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021156
othello,random,greedy,1,22021169
othello,mctsrave1000,mctsrave1000,2,22021079
othello,mapbaseheuothello,mctsstrategies1000(random_strategy:mobility_strategy),1,22021155
hex,mctsstrategy1000(random_strategy),random,2,22021103
othello,mcts1000,greedy,1,22021135
hex,random,alphabeta3,1,22021107
othello,random,mcts1000,2,22021157
othello,mctsstrategy1000(random_strategy),alphabeta3,2,22021077
othello,greedy,mapbaseheuothello,2,22021091
hex,alphabeta3,mcts1000,1,22021097
othello,alphabeta3,mapbaseheuothello,2,22021138
othello,mctsstrategy1000(random_strategy),mctsstrategy1000(random_strategy),2,22021117
othello,mctsstrategies1000(random_strategy:mobility_strategy),alphabeta3,2,22021075
othello,mcts1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021162
othello,mctsstrategy1000(random_strategy),mctsrave1000,2,22021107
othello,alphabeta3,greedy,1,22021135
othello,greedy,mctsrave1000,2,22021108
hex,random,mctsstrategy1000(random_strategy),1,22021079
othello,mctsstrategy1000(random_strategy),mapbaseheuothello,2,22021091
othello,mcts1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021116
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021167
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021077
othello,mctsstrategies1000(random_strategy:mobility_strategy),mcts1000,2,22021169
othello,mapbaseheuothello,greedy,1,22021164
othello,random,alphabeta3,2,22021150
hex,alphabeta3,mcts1000,1,22021143
othello,alphabeta3,random,2,22021144
othello,mcts1000,mctsstrategies1000(random_strategy:mobility_strategy),2,22021074
othello,alphabeta3,random,1,22021138
hex,alphabeta3,mctsstrategy1000(random_strategy),1,22021077
othello,random,mcts1000,2,22021169
othello,mctsstrategies1000(random_strategy:mobility_strategy),alphabeta3,2,22021130
othello,alphabeta3,mctsstrategies1000(random_strategy:mobility_strategy),2,22021089
othello,greedy,alphabeta3,2,22021076
othello,alphabeta3,random,1,22021071
hex,mctsstrategy1000(random_strategy),random,2,22021144
